Title,Subtitle,Author,Publisher,Publication Date,Original Price,Discounted Price,Sales Index,Rating,Review Count,Tags,Image URL,URL
된다! 하루 만에 끝내는 제미나이 활용법,"보고서, 이미지 생성 등 70가지 예제 수록! 노트북LM, 구글 AI 스튜디오, 나노 바나나를 한 권에!",권서림,이지스퍼블리싱,2025년 11월,20000,18000,92187,9.8,62,"#분철, #AI, #AI사용법, #AI이미지, #AI활용콘텐츠",https://image.yes24.com/goods/163301895/L,https://www.yes24.com/product/goods/163301895
요즘 바이브 코딩 안티그래비티 완벽 가이드,"구글 AI, 제미나이, 스티치, 프롬프트 엔지니어링, 인공지능 에이전트, RAG, 프론트엔드, PRD, TDD, 클린 아키텍처, 리팩터링, 챗봇, 블로그, 랜딩 페이지 더 빠르고 더 견고한 프로그램을 만드는 원리와 방법",최지호,골든래빗,2026년 02월,28000,25200,26106,10.0,2,#분철,https://image.yes24.com/goods/174658020/L,https://www.yes24.com/product/goods/174658020
누구나 아는 나만 모르는 제미나이,"세상에서 가장 쉬운 제미나이 & AI 입문서 | Gemini, 구글 워크스페이스, Gems, 노트북LM, 나노바나나 프로, 구글 AI 스튜디오, Veo 3.1, 믹스보드",이성원,한빛미디어,2026년 01월,19000,17100,26031,10.0,12,"#제미나이, #AI, #AI관련서, #생성형AI, #AI사용법",https://image.yes24.com/goods/172517063/L,https://www.yes24.com/product/goods/172517063
"AI 시대의 질문력, 프롬프트 엔지니어링",,류한석,코리아닷컴(Korea.com),2025년 08월,27000,24300,59490,9.5,44,"#분철, #클로드, #제미나이, #생성형AI, #챗GPT",https://image.yes24.com/goods/150566390/L,https://www.yes24.com/product/goods/150566390
"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이","수업준비, 학급경영, 행정업무, 상담, 연수준비, 개인업무, 교사협업, 바이브코딩 어떻게 활용했고, 어떻게 활용할 수 있는지!",안익재,앤써북,2025년 12월,19800,17820,17682,10.0,84,,https://image.yes24.com/goods/169849422/L,https://www.yes24.com/product/goods/169849422
피지컬 AI 메가 트렌드,,최홍섭,위즈덤하우스,2026년 01월,23000,20700,8286,9.9,21,,https://image.yes24.com/goods/176004735/L,https://www.yes24.com/product/goods/176004735
요즘 바이브 코딩 클로드 코드 완벽 가이드,"요금제 선택, CLAUDE.md, Opus, Sonnet, 모델 선택, MCP, PRD, 깃허브 워크플로, UI 프로토타이핑, 인증 구현, 슬래시 커맨드, supabase 연동, 테스트, 배포, 슈퍼 클로드, ccusage, 클로디아 느낌이 좋은 프로그램",최지호,골든래빗,2025년 09월,24000,21600,30378,8.4,18,"#크레마클럽에있어요, #분철, #클로드코드, #코딩AI, #코딩",https://image.yes24.com/goods/151850127/L,https://www.yes24.com/product/goods/151850127
요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,"챗GPT부터 캔바, 구글 스프레드시트, API 연동까지",박진환,한빛미디어,2025년 05월,20000,18000,94893,9.8,65,"#에듀테크, #미래교육, #챗GPT, #인공지능",https://image.yes24.com/goods/145426898/L,https://www.yes24.com/product/goods/145426898
된다! 하루 만에 끝내는 챗GPT 활용법,인공지능에게 일 시키고 시간 버는 법,프롬프트 크리에이터,이지스퍼블리싱,2025년 06월,20000,18000,37668,9.4,97,"#크레마클럽에있어요, #분철",https://image.yes24.com/goods/146955725/L,https://www.yes24.com/product/goods/146955725
이게 되네? 나노바나나 AI 비포&애프터 미친 활용법 71제,"포토샵 없이 제미나이로 5초 컷! 씨드림, 미드저니, 소라, 위스크까지 나만의 AI 사진관 한 권으로 끝내기",쌩초,골든래빗,2025년 12월,18800,16920,18366,10.0,82,"#크레마클럽에있어요, #분철",https://image.yes24.com/goods/167400825/L,https://www.yes24.com/product/goods/167400825
제로클릭,"클릭의 종말, AI 시대의 생존 전략",손승완,길벗,2026년 01월,18800,16920,9990,9.8,41,"#AI시대가온다, #마케팅이란, #마케팅전략, #마케터는보라",https://image.yes24.com/goods/171566846/L,https://www.yes24.com/product/goods/171566846
AI 에이전트 엔지니어링,"단일 에이전트부터 멀티 에이전트 시스템까지, AI 앱 개발 올인원 가이드",마이클 알바다,한빛미디어,2026년 01월,32000,28800,7656,10.0,3,,https://image.yes24.com/goods/174018513/L,https://www.yes24.com/product/goods/174018513
이게 되네? AI 쇼츠 만들기 미친 자동화 22제,"인공지능으로 쇼츠와 릴스를 자동 제작한다! 콘텐츠 수집부터 스크립트 작성, 영상 제작, 유튜브와 인스타그램 자동 업로드까지 코딩 모르는 초보자도 숏폼으로 수익 창출하는 법",천은영,골든래빗,2026년 01월,26000,23400,8991,10.0,4,,https://image.yes24.com/goods/169665962/L,https://www.yes24.com/product/goods/169665962
AI 버블이 온다,우리는 진짜 인공지능을 보고 있는가?,아르빈드 나라야난,윌북(willbook),2025년 12월,24800,22320,12012,9.9,46,"#마케터는보라, #AI시대가온다, #AI관련서",https://image.yes24.com/goods/167465671/L,https://www.yes24.com/product/goods/167465671
누구나 아는 나만 모르는 챗GPT : 세상에서 가장 쉬운 챗GPT & AI 입문서,"CHATGPT, 제미나이, 나노바나나, Suno, 노트북LM, Sora, 감마, 냅킨",이성원,한빛미디어,2025년 10월,19000,17100,13224,9.7,39,#분철,https://image.yes24.com/goods/154232193/L,https://www.yes24.com/product/goods/154232193
MK에디션 CES 2026,피지컬 AI의 시대,매일경제 CES 특별취재팀,매일경제신문사,2026년 01월,20000,18000,7062,,0,,https://image.yes24.com/goods/174267330/L,https://www.yes24.com/product/goods/174267330
AI 자율학습 클로드 코드·코덱스 CLI·제미나이 CLI 완전 활용법,한 권으로 끝내는 AI 터미널 도구 3대장 바이브 코딩,Dave Lee,길벗,2026년 02월,32000,28800,3747,10.0,4,,https://image.yes24.com/goods/175525819/L,https://www.yes24.com/product/goods/175525819
요즘 당근 AI 개발,"AI가 만든 파도 위에서 과감히 서핑하는 법. AI 에이전트, 프롬프트 엔지니어링, VoC 자동 분석, 운영자동화, 바이브 코딩 AI 검색과 추천까지 당근의 AI 활용 이야기",당근 팀,골든래빗,2025년 10월,22000,19800,18201,9.9,86,#크레마클럽에있어요,https://image.yes24.com/goods/154566057/L,https://www.yes24.com/product/goods/154566057
대체불가 AI 영상 제작 완전정복,챗GPT로 기획하고 제너레이티드 포토스·아트브리더·구글 베오·나노 바나나(Flash 2.5)·미드저니·프리픽·시드림·수노 AI·일레븐랩스·클링AI·런웨이·피카·소라2·컴피UI·캡컷 AI로 완성하기,이용태,책바세,2025년 12월,29000,26100,9339,9.8,12,,https://image.yes24.com/goods/165239801/L,https://www.yes24.com/product/goods/165239801
AI가 쉬워지는 최소한의 수학,인공지능 문해력을 키우는 수학적 사고법의 힘,이동준,지상의책(갈매나무),2026년 02월,20000,18000,3252,10.0,3,"#이집수학잘하네, #수학의이해, #수학으로읽는세상",https://image.yes24.com/goods/176526389/L,https://www.yes24.com/product/goods/176526389
AI 프로젝트 100% 성공을 위한 체크리스트 17,"비즈니스 성장을 위한 AI 프로덕트의 기획부터 설계, 성능 평가까지 단계별 전략",유진호,책만,2026년 01월,28000,25200,5706,10.0,5,,https://image.yes24.com/goods/175133788/L,https://www.yes24.com/product/goods/175133788
AI 엔지니어링,"파운데이션 모델을 활용한 시스템 설계부터 개선까지, AI 앱 개발 원스톱 가이드",칩 후옌,한빛미디어,2025년 09월,40000,36000,13980,9.9,15,,https://image.yes24.com/goods/154925812/L,https://www.yes24.com/product/goods/154925812
"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오","음악 장르별 특징 파악부터 가사, 광고, 영화, 대중음악 생성을 위한 프롬프트 실습까지!",현병욱(오땡큐),시프트,2025년 09월,20000,18000,16074,9.7,29,"#AI음악, #AI작곡",https://image.yes24.com/goods/152644865/L,https://www.yes24.com/product/goods/152644865
혼자 공부하는 머신러닝+딥러닝,케라스와 파이토치로 1:1 과외하듯 배우는 인공지능 자습서,박해선,한빛미디어,2025년 04월,32000,28800,20226,9.7,142,#분철,https://image.yes24.com/goods/143912145/L,https://www.yes24.com/product/goods/143912145
Do it! LLM을 활용한 AI 에이전트 개발 입문,GPT API+딥시크+라마+랭체인+랭그래프+RAG,이성용,이지스퍼블리싱,2025년 05월,35000,31500,19311,9.7,21,"#크레마클럽에있어요, #분철, #파이썬, #챗GPT, #LLM",https://image.yes24.com/goods/146036009/L,https://www.yes24.com/product/goods/146036009
요즘 바이브 코딩 커서 AI 30가지 프로그램 만들기,"인공지능 코딩, 랜딩 페이지, 바탕화면 정리 앱, PDF 편집기, 이메일 자동화, 주식 크롤링, QR 코드 생성기, GPT 블로그 생성기",박현규,골든래빗,2025년 09월,24000,21600,16230,9.9,84,"#크레마클럽에있어요, #코딩, #코딩교육, #바이브코딩, #AI",https://image.yes24.com/goods/153029475/L,https://www.yes24.com/product/goods/153029475
